FE24036355;29,78
FE24040530;26,47
FE24040843;234,93
FE24035412;21,11
FE24036555;58,46
FE24035596;13,88
FE24036244;7,1
FE24036652;19,46
FE24034858;12,9
FE24035526;41,89
FE24035277;10,43
FE24036453;21,36
FE24037199;8,11
FE24037178;10,72
FE24035923;1,94
FE24036115;106,6
FE24041446;8,18
FE24038047;10,02
FE24041215;17,45
FE24036173;29,39
FE24039266;16,29
FE24035176;23,27
FE24040922;30,88
FE24039972;22,71
FE24040927;28,41
FE24040696;42,19
FE24035369;63,89
FE24039905;26,95
FE24039709;8,6
FE24039091;19,05
FE24036703;15,79
FE24039833;22,74
FE24039950;31,57
FE24037470;13,03
FE24035687;31,45
FE24041387;13,69
FE24035595;25,82
FE24036547;10,45
FE24035328;21,51
FE24036776;48,15
FE24040542;24,71
FE24041250;16,75
FE24035408;31,61
FE24040594;31,42
FE24034553;15,26
FE24041273;30,49
FE24035740;101,07
FE24035009;14,63
FE24035591;13,39
FE24035199;12,08
FE24036286;13,54
FE24041455;1017,71
FE24036282;5,93
FE24035670;16,32
FE24035602;13,94
FE24034760;23,72
FE24035478;16,69
FE24034515;20,9
FE24039156;27,12
FE24035721;59,58
FE24036358;4,09
FE24038261;15,4
FE24035898;7,18
FE24041317;19,17
FE24037057;30,79
FE24040579;12,46
FE24035661;30,75
FE24040386;83,24
FE24040510;13,79
FE24039630;37,22
FE24036768;5,25
FE24034492;54,53
FE24035180;19,89
FE24036270;5,66
FE24040583;29,22
FE24035232;19,43
FE24036197;17,63
FE24040039;31,59
FE24035731;16,2
FE24035722;29,75
FE24039068;23,46
FE24034583;12,64
FE24040018;17,82
FE24038499;8,25
FE24034536;8,97
FE24041435;8,83
FE24040432;10,31
FE24035438;12,22
FE24035333;8,6
FE24040671;25,22
FE24035067;27,7
FE24039212;23,57
FE24034954;25,28
FE24040032;27,41
FE24040202;15,27
FE24039712;11,95
FE24039746;21,11
FE24034967;16,6
FE24035654;41,87
FE24037207;13,08
FE24034548;91,62
FE24041322;6,22
FE24035632;34,53
FE24039322;26,39
FE24035619;5,41
FE24035620;20,59
FE24035208;12,92
FE24035353;19,29
FE24036716;26,17
FE24039948;26,63
FE24035957;26,43
FE24035592;7,54
FE24035417;23,73
FE24035738;39,42
FE24036569;21,5
FE24040882;28,83
FE24034544;22,12
FE24036901;22,74
FE24039185;8,16
FE24039026;10,53
FE24039443;6,35
FE24035289;10,14
FE24041170;14,11
FE24039740;36,76
FE24035974;25,86
FE24039955;11,11
FE24037044;10,74
FE24040237;9,34
FE24040037;16,96
FE24035260;21,5
FE24041108;33,76
FE24035733;28,6
FE24036249;29,43
FE24035319;24,28
FE24041066;8,39
FE24035605;25,12
FE24040212;8,11
FE24034636;27,71
FE24039748;18,74
FE24035549;103,29
FE24040828;11,71
FE24034554;104,87
FE24040129;11,14
FE24036712;21,34
FE24040939;11,66
FE24035522;4,26
FE24036386;11,22
FE24038118;23,01
FE24035561;30,77
FE24036381;24,97
FE24039394;9,55
FE24035737;83,79
FE24039736;10,95
FE24036796;22,31
